# Date,Receipt_Count,lag1,lag2,lag3,lag4,dayofweek,quarter,month,year,dayofmonth,dayofyear,weekoftheyear,isFuture
2021-02-16,7736671,,,,,1,1,2,2021,16,47,7,False
2021-02-17,8082781,,,,,2,1,2,2021,17,48,7,False
2021-02-18,7824063,,,,,3,1,2,2021,18,49,7,False
2021-02-19,7761256,,,,,4,1,2,2021,19,50,7,False
2021-02-20,7821879,,,,,5,1,2,2021,20,51,7,False
2021-02-21,7760399,,,,,6,1,2,2021,21,52,7,False
2021-02-22,8330147,,,,,0,1,2,2021,22,53,8,False
2021-02-23,8053953,,,,,1,1,2,2021,23,54,8,False
2021-02-24,7816117,,,,,2,1,2,2021,24,55,8,False
2021-02-25,8156649,,,,,3,1,2,2021,25,56,8,False
2021-02-26,7857443,,,,,4,1,2,2021,26,57,8,False
2021-02-27,7881212,,,,,5,1,2,2021,27,58,8,False
2021-02-28,7975949,,,,,6,1,2,2021,28,59,8,False
2021-03-01,7970632,,,,,0,1,3,2021,1,60,9,False
2021-03-02,7998865,,,,,1,1,3,2021,2,61,9,False
2021-03-03,7748662,,,,,2,1,3,2021,3,62,9,False
2021-03-04,8080043,,,,,3,1,3,2021,4,63,9,False
2021-03-05,7971011,,,,,4,1,3,2021,5,64,9,False
2021-03-06,8309959,,,,,5,1,3,2021,6,65,9,False
2021-03-07,7945271,,,,,6,1,3,2021,7,66,9,False
2021-03-08,8352635,,,,,0,1,3,2021,8,67,10,False
2021-03-09,7861647,,,,,1,1,3,2021,9,68,10,False
2021-03-10,7920726,,,,,2,1,3,2021,10,69,10,False
2021-03-11,7921232,,,,,3,1,3,2021,11,70,10,False
2021-03-12,8142874,,,,,4,1,3,2021,12,71,10,False
2021-03-13,7731725,,,,,5,1,3,2021,13,72,10,False
2021-03-14,8070687,,,,,6,1,3,2021,14,73,10,False
2021-03-15,7825047,,,,,0,1,3,2021,15,74,11,False
2021-03-16,7920469,,,,,1,1,3,2021,16,75,11,False
2021-03-17,7946897,,,,,2,1,3,2021,17,76,11,False
2021-03-18,8090998,,,,,3,1,3,2021,18,77,11,False
2021-03-19,8415152,,,,,4,1,3,2021,19,78,11,False
2021-03-20,8325436,,,,,5,1,3,2021,20,79,11,False
2021-03-21,8105278,,,,,6,1,3,2021,21,80,11,False
2021-03-22,7562433,,,,,0,1,3,2021,22,81,12,False
2021-03-23,8096085,,,,,1,1,3,2021,23,82,12,False
2021-03-24,8034268,,,,,2,1,3,2021,24,83,12,False
2021-03-25,8050876,,,,,3,1,3,2021,25,84,12,False
2021-03-26,8077321,,,,,4,1,3,2021,26,85,12,False
2021-03-27,7999117,,,,,5,1,3,2021,27,86,12,False
2021-03-28,8082481,,,,,6,1,3,2021,28,87,12,False
2021-03-29,8126444,,,,,0,1,3,2021,29,88,13,False
2021-03-30,7911341,,,,,1,1,3,2021,30,89,13,False
2021-03-31,8013013,,,,,2,1,3,2021,31,90,13,False
2021-04-01,8353242,,,,,3,2,4,2021,1,91,13,False
2021-04-02,8042185,7564766.0,,,,4,2,4,2021,2,92,13,False
2021-04-03,8401675,7455524.0,,,,5,2,4,2021,3,93,13,False
2021-04-04,8134408,7095414.0,,,,6,2,4,2021,4,94,13,False
2021-04-05,8422480,7666163.0,,,,0,2,4,2021,5,95,14,False
2021-04-06,8140096,7771289.0,,,,1,2,4,2021,6,96,14,False
2021-04-07,8385138,7473320.0,,,,2,2,4,2021,7,97,14,False
2021-04-08,8619576,7832624.0,,,,3,2,4,2021,8,98,14,False
2021-04-09,7961949,7765028.0,,,,4,2,4,2021,9,99,14,False
2021-04-10,8388608,7385245.0,,,,5,2,4,2021,10,100,14,False
2021-04-11,8458290,7392087.0,,,,6,2,4,2021,11,101,14,False
2021-04-12,8206730,7738899.0,,,,0,2,4,2021,12,102,15,False
2021-04-13,8319338,7840830.0,,,,1,2,4,2021,13,103,15,False
2021-04-14,8726486,8122546.0,,,,2,2,4,2021,14,104,15,False
2021-04-15,8342572,7694195.0,,,,3,2,4,2021,15,105,15,False
2021-04-16,8438884,7200595.0,,,,4,2,4,2021,16,106,15,False
2021-04-17,8186918,7744470.0,,,,5,2,4,2021,17,107,15,False
2021-04-18,8195134,7610648.0,,,,6,2,4,2021,18,108,15,False
2021-04-19,8366630,7880913.0,,,,0,2,4,2021,19,109,16,False
2021-04-20,8282495,7250032.0,,,,1,2,4,2021,20,110,16,False
2021-04-21,8641338,7666397.0,,,,2,2,4,2021,21,111,16,False
2021-04-22,8521710,7742477.0,,,,3,2,4,2021,22,112,16,False
2021-04-23,8255078,7807438.0,,,,4,2,4,2021,23,113,16,False
2021-04-24,8221890,7603625.0,,,,5,2,4,2021,24,114,16,False
2021-04-25,8509398,7572947.0,,,,6,2,4,2021,25,115,16,False
2021-04-26,8055670,7598153.0,,,,0,2,4,2021,26,116,17,False
2021-04-27,8266410,7194687.0,,,,1,2,4,2021,27,117,17,False
2021-04-28,8367438,7787109.0,,,,2,2,4,2021,28,118,17,False
2021-04-29,8704248,7631075.0,,,,3,2,4,2021,29,119,17,False
2021-04-30,8728816,7750536.0,,,,4,2,4,2021,30,120,17,False
2021-05-01,8231674,8059526.0,,,,5,2,5,2021,1,121,17,False
2021-05-02,8278534,7838129.0,,,,6,2,5,2021,2,122,17,False
2021-05-03,8727522,7714465.0,,,,0,2,5,2021,3,123,18,False
2021-05-04,8649710,7766408.0,,,,1,2,5,2021,4,124,18,False
2021-05-05,8519563,7832259.0,,,,2,2,5,2021,5,125,18,False
2021-05-06,8435867,7506461.0,,,,3,2,5,2021,6,126,18,False
2021-05-07,8227322,7816477.0,,,,4,2,5,2021,7,127,18,False
2021-05-08,8383810,7360372.0,,,,5,2,5,2021,8,128,18,False
2021-05-09,8109287,8039414.0,,,,6,2,5,2021,9,129,18,False
2021-05-10,8518147,7858632.0,,,,0,2,5,2021,10,130,19,False
2021-05-11,8472640,7810951.0,,,,1,2,5,2021,11,131,19,False
2021-05-12,8359580,7579882.0,,,,2,2,5,2021,12,132,19,False
2021-05-13,8262562,8127696.0,,,,3,2,5,2021,13,133,19,False
2021-05-14,8503389,7748085.0,,,,4,2,5,2021,14,134,19,False
2021-05-15,8498352,8117805.0,,,,5,2,5,2021,15,135,19,False
2021-05-16,9066670,7780006.0,,,,6,2,5,2021,16,136,19,False
2021-05-17,8744235,7916028.0,,,,0,2,5,2021,17,137,20,False
2021-05-18,8688343,7736671.0,,,,1,2,5,2021,18,138,20,False
2021-05-19,8475700,8082781.0,,,,2,2,5,2021,19,139,20,False
2021-05-20,8471826,7824063.0,,,,3,2,5,2021,20,140,20,False
2021-05-21,9020316,7761256.0,,,,4,2,5,2021,21,141,20,False
2021-05-22,8399861,7821879.0,,,,5,2,5,2021,22,142,20,False
2021-05-23,8387758,7760399.0,,,,6,2,5,2021,23,143,20,False
2021-05-24,8637948,8330147.0,,,,0,2,5,2021,24,144,21,False
2021-05-25,8088783,8053953.0,,,,1,2,5,2021,25,145,21,False
2021-05-26,8148275,7816117.0,,,,2,2,5,2021,26,146,21,False
2021-05-27,8682340,8156649.0,,,,3,2,5,2021,27,147,21,False
2021-05-28,8879871,7857443.0,,,,4,2,5,2021,28,148,21,False
2021-05-29,8680501,7881212.0,,,,5,2,5,2021,29,149,21,False
2021-05-30,8083372,7975949.0,,,,6,2,5,2021,30,150,21,False
2021-05-31,8517990,7970632.0,,,,0,2,5,2021,31,151,22,False
2021-06-01,8491801,7998865.0,,,,1,2,6,2021,1,152,22,False
2021-06-02,9031534,7748662.0,,,,2,2,6,2021,2,153,22,False
2021-06-03,8319351,8080043.0,,,,3,2,6,2021,3,154,22,False
2021-06-04,8553246,7971011.0,,,,4,2,6,2021,4,155,22,False
2021-06-05,8534097,8309959.0,,,,5,2,6,2021,5,156,22,False
2021-06-06,8462584,7945271.0,,,,6,2,6,2021,6,157,22,False
2021-06-07,8691699,8352635.0,,,,0,2,6,2021,7,158,23,False
2021-06-08,8686964,7861647.0,,,,1,2,6,2021,8,159,23,False
2021-06-09,8550358,7920726.0,,,,2,2,6,2021,9,160,23,False
2021-06-10,8143101,7921232.0,,,,3,2,6,2021,10,161,23,False
2021-06-11,8645316,8142874.0,,,,4,2,6,2021,11,162,23,False
2021-06-12,8928652,7731725.0,,,,5,2,6,2021,12,163,23,False
2021-06-13,9082265,8070687.0,,,,6,2,6,2021,13,164,23,False
2021-06-14,8796515,7825047.0,,,,0,2,6,2021,14,165,24,False
2021-06-15,8629607,7920469.0,,,,1,2,6,2021,15,166,24,False
2021-06-16,8827278,7946897.0,,,,2,2,6,2021,16,167,24,False
2021-06-17,8946278,8090998.0,,,,3,2,6,2021,17,168,24,False
2021-06-18,8390857,8415152.0,,,,4,2,6,2021,18,169,24,False
2021-06-19,8782778,8325436.0,,,,5,2,6,2021,19,170,24,False
2021-06-20,8817338,8105278.0,,,,6,2,6,2021,20,171,24,False
2021-06-21,8543719,7562433.0,,,,0,2,6,2021,21,172,25,False
2021-06-22,8590990,8096085.0,,,,1,2,6,2021,22,173,25,False
2021-06-23,8774391,8034268.0,,,,2,2,6,2021,23,174,25,False
2021-06-24,8913737,8050876.0,,,,3,2,6,2021,24,175,25,False
2021-06-25,8665876,8077321.0,,,,4,2,6,2021,25,176,25,False
2021-06-26,8707038,7999117.0,,,,5,2,6,2021,26,177,25,False
2021-06-27,8869334,8082481.0,,,,6,2,6,2021,27,178,25,False
2021-06-28,9186579,8126444.0,,,,0,2,6,2021,28,179,26,False
2021-06-29,8372464,7911341.0,,,,1,2,6,2021,29,180,26,False
2021-06-30,8721093,8013013.0,,,,2,2,6,2021,30,181,26,False
2021-07-01,8704509,8353242.0,,,,3,3,7,2021,1,182,26,False
2021-07-02,8939614,8042185.0,7564766.0,,,4,3,7,2021,2,183,26,False
2021-07-03,9267015,8401675.0,7455524.0,,,5,3,7,2021,3,184,26,False
2021-07-04,8544557,8134408.0,7095414.0,,,6,3,7,2021,4,185,26,False
2021-07-05,8735065,8422480.0,7666163.0,,,0,3,7,2021,5,186,27,False
2021-07-06,8326629,8140096.0,7771289.0,,,1,3,7,2021,6,187,27,False
2021-07-07,8831147,8385138.0,7473320.0,,,2,3,7,2021,7,188,27,False
2021-07-08,8857992,8619576.0,7832624.0,,,3,3,7,2021,8,189,27,False
2021-07-09,9160117,7961949.0,7765028.0,,,4,3,7,2021,9,190,27,False
2021-07-10,8672036,8388608.0,7385245.0,,,5,3,7,2021,10,191,27,False
2021-07-11,8670423,8458290.0,7392087.0,,,6,3,7,2021,11,192,27,False
2021-07-12,8869283,8206730.0,7738899.0,,,0,3,7,2021,12,193,28,False
2021-07-13,8686309,8319338.0,7840830.0,,,1,3,7,2021,13,194,28,False
2021-07-14,8654144,8726486.0,8122546.0,,,2,3,7,2021,14,195,28,False
2021-07-15,8860853,8342572.0,7694195.0,,,3,3,7,2021,15,196,28,False
2021-07-16,9198488,8438884.0,7200595.0,,,4,3,7,2021,16,197,28,False
2021-07-17,8960260,8186918.0,7744470.0,,,5,3,7,2021,17,198,28,False
2021-07-18,9122667,8195134.0,7610648.0,,,6,3,7,2021,18,199,28,False
2021-07-19,9138658,8366630.0,7880913.0,,,0,3,7,2021,19,200,29,False
2021-07-20,8987305,8282495.0,7250032.0,,,1,3,7,2021,20,201,29,False
2021-07-21,8899455,8641338.0,7666397.0,,,2,3,7,2021,21,202,29,False
2021-07-22,9017914,8521710.0,7742477.0,,,3,3,7,2021,22,203,29,False
2021-07-23,8480182,8255078.0,7807438.0,,,4,3,7,2021,23,204,29,False
2021-07-24,8603099,8221890.0,7603625.0,,,5,3,7,2021,24,205,29,False
2021-07-25,8636410,8509398.0,7572947.0,,,6,3,7,2021,25,206,29,False
2021-07-26,8996817,8055670.0,7598153.0,,,0,3,7,2021,26,207,30,False
2021-07-27,9024807,8266410.0,7194687.0,,,1,3,7,2021,27,208,30,False
2021-07-28,9329236,8367438.0,7787109.0,,,2,3,7,2021,28,209,30,False
2021-07-29,8979426,8704248.0,7631075.0,,,3,3,7,2021,29,210,30,False
2021-07-30,8909272,8728816.0,7750536.0,,,4,3,7,2021,30,211,30,False
2021-07-31,8712314,8231674.0,8059526.0,,,5,3,7,2021,31,212,30,False
2021-08-01,8861903,8278534.0,7838129.0,,,6,3,8,2021,1,213,30,False
2021-08-02,8913143,8727522.0,7714465.0,,,0,3,8,2021,2,214,31,False
2021-08-03,9223398,8649710.0,7766408.0,,,1,3,8,2021,3,215,31,False
2021-08-04,9410437,8519563.0,7832259.0,,,2,3,8,2021,4,216,31,False
2021-08-05,9212329,8435867.0,7506461.0,,,3,3,8,2021,5,217,31,False
2021-08-06,9062121,8227322.0,7816477.0,,,4,3,8,2021,6,218,31,False
2021-08-07,9432522,8383810.0,7360372.0,,,5,3,8,2021,7,219,31,False
2021-08-08,9111057,8109287.0,8039414.0,,,6,3,8,2021,8,220,31,False
2021-08-09,8971236,8518147.0,7858632.0,,,0,3,8,2021,9,221,32,False
2021-08-10,8799249,8472640.0,7810951.0,,,1,3,8,2021,10,222,32,False
2021-08-11,9127038,8359580.0,7579882.0,,,2,3,8,2021,11,223,32,False
2021-08-12,9362940,8262562.0,8127696.0,,,3,3,8,2021,12,224,32,False
2021-08-13,9077857,8503389.0,7748085.0,,,4,3,8,2021,13,225,32,False
2021-08-14,9413465,8498352.0,8117805.0,,,5,3,8,2021,14,226,32,False
2021-08-15,8950079,9066670.0,7780006.0,,,6,3,8,2021,15,227,32,False
2021-08-16,9215173,8744235.0,7916028.0,,,0,3,8,2021,16,228,33,False
2021-08-17,9056307,8688343.0,7736671.0,,,1,3,8,2021,17,229,33,False
2021-08-18,8968187,8475700.0,8082781.0,,,2,3,8,2021,18,230,33,False
2021-08-19,9357610,8471826.0,7824063.0,,,3,3,8,2021,19,231,33,False
2021-08-20,8971426,9020316.0,7761256.0,,,4,3,8,2021,20,232,33,False
2021-08-21,9238276,8399861.0,7821879.0,,,5,3,8,2021,21,233,33,False
2021-08-22,9372279,8387758.0,7760399.0,,,6,3,8,2021,22,234,33,False
2021-08-23,9589375,8637948.0,8330147.0,,,0,3,8,2021,23,235,34,False
2021-08-24,8961875,8088783.0,8053953.0,,,1,3,8,2021,24,236,34,False
2021-08-25,9160096,8148275.0,7816117.0,,,2,3,8,2021,25,237,34,False
2021-08-26,9052229,8682340.0,8156649.0,,,3,3,8,2021,26,238,34,False
2021-08-27,8778271,8879871.0,7857443.0,,,4,3,8,2021,27,239,34,False
2021-08-28,9245534,8680501.0,7881212.0,,,5,3,8,2021,28,240,34,False
2021-08-29,9384023,8083372.0,7975949.0,,,6,3,8,2021,29,241,34,False
2021-08-30,9474742,8517990.0,7970632.0,,,0,3,8,2021,30,242,35,False
2021-08-31,9189054,8491801.0,7998865.0,,,1,3,8,2021,31,243,35,False
2021-09-01,9167277,9031534.0,7748662.0,,,2,3,9,2021,1,244,35,False
2021-09-02,9123056,8319351.0,8080043.0,,,3,3,9,2021,2,245,35,False
2021-09-03,9251321,8553246.0,7971011.0,,,4,3,9,2021,3,246,35,False
2021-09-04,9377700,8534097.0,8309959.0,,,5,3,9,2021,4,247,35,False
2021-09-05,9782022,8462584.0,7945271.0,,,6,3,9,2021,5,248,35,False
2021-09-06,8930331,8691699.0,8352635.0,,,0,3,9,2021,6,249,36,False
2021-09-07,9718666,8686964.0,7861647.0,,,1,3,9,2021,7,250,36,False
2021-09-08,9262001,8550358.0,7920726.0,,,2,3,9,2021,8,251,36,False
2021-09-09,9095889,8143101.0,7921232.0,,,3,3,9,2021,9,252,36,False
2021-09-10,9364629,8645316.0,8142874.0,,,4,3,9,2021,10,253,36,False
2021-09-11,9508131,8928652.0,7731725.0,,,5,3,9,2021,11,254,36,False
2021-09-12,9264013,9082265.0,8070687.0,,,6,3,9,2021,12,255,36,False
2021-09-13,9461281,8796515.0,7825047.0,,,0,3,9,2021,13,256,37,False
2021-09-14,9032235,8629607.0,7920469.0,,,1,3,9,2021,14,257,37,False
2021-09-15,9574777,8827278.0,7946897.0,,,2,3,9,2021,15,258,37,False
2021-09-16,9189740,8946278.0,8090998.0,,,3,3,9,2021,16,259,37,False
2021-09-17,9508023,8390857.0,8415152.0,,,4,3,9,2021,17,260,37,False
2021-09-18,9580631,8782778.0,8325436.0,,,5,3,9,2021,18,261,37,False
2021-09-19,9697272,8817338.0,8105278.0,,,6,3,9,2021,19,262,37,False
2021-09-20,9292315,8543719.0,7562433.0,,,0,3,9,2021,20,263,38,False
2021-09-21,9090518,8590990.0,8096085.0,,,1,3,9,2021,21,264,38,False
2021-09-22,9294810,8774391.0,8034268.0,,,2,3,9,2021,22,265,38,False
2021-09-23,9400956,8913737.0,8050876.0,,,3,3,9,2021,23,266,38,False
2021-09-24,9871832,8665876.0,8077321.0,,,4,3,9,2021,24,267,38,False
2021-09-25,9569204,8707038.0,7999117.0,,,5,3,9,2021,25,268,38,False
2021-09-26,9583588,8869334.0,8082481.0,,,6,3,9,2021,26,269,38,False
2021-09-27,9412385,9186579.0,8126444.0,,,0,3,9,2021,27,270,39,False
2021-09-28,9221235,8372464.0,7911341.0,,,1,3,9,2021,28,271,39,False
2021-09-29,9328174,8721093.0,8013013.0,,,2,3,9,2021,29,272,39,False
2021-09-30,9192142,8704509.0,8353242.0,,,3,3,9,2021,30,273,39,False
2021-10-01,9432155,8939614.0,8042185.0,7564766.0,,4,4,10,2021,1,274,39,False
2021-10-02,9755500,9267015.0,8401675.0,7455524.0,,5,4,10,2021,2,275,39,False
2021-10-03,9562636,8544557.0,8134408.0,7095414.0,,6,4,10,2021,3,276,39,False
2021-10-04,9497084,8735065.0,8422480.0,7666163.0,,0,4,10,2021,4,277,40,False
2021-10-05,9656472,8326629.0,8140096.0,7771289.0,,1,4,10,2021,5,278,40,False
2021-10-06,9461320,8831147.0,8385138.0,7473320.0,,2,4,10,2021,6,279,40,False
2021-10-07,9363588,8857992.0,8619576.0,7832624.0,,3,4,10,2021,7,280,40,False
2021-10-08,9834844,9160117.0,7961949.0,7765028.0,,4,4,10,2021,8,281,40,False
2021-10-09,9113802,8672036.0,8388608.0,7385245.0,,5,4,10,2021,9,282,40,False
2021-10-10,9290592,8670423.0,8458290.0,7392087.0,,6,4,10,2021,10,283,40,False
2021-10-11,9282316,8869283.0,8206730.0,7738899.0,,0,4,10,2021,11,284,41,False
2021-10-12,9725761,8686309.0,8319338.0,7840830.0,,1,4,10,2021,12,285,41,False
2021-10-13,9449353,8654144.0,8726486.0,8122546.0,,2,4,10,2021,13,286,41,False
2021-10-14,9492895,8860853.0,8342572.0,7694195.0,,3,4,10,2021,14,287,41,False
2021-10-15,9599402,9198488.0,8438884.0,7200595.0,,4,4,10,2021,15,288,41,False
2021-10-16,9664876,8960260.0,8186918.0,7744470.0,,5,4,10,2021,16,289,41,False
2021-10-17,9702569,9122667.0,8195134.0,7610648.0,,6,4,10,2021,17,290,41,False
2021-10-18,9574962,9138658.0,8366630.0,7880913.0,,0,4,10,2021,18,291,42,False
2021-10-19,9540428,8987305.0,8282495.0,7250032.0,,1,4,10,2021,19,292,42,False
2021-10-20,9617606,8899455.0,8641338.0,7666397.0,,2,4,10,2021,20,293,42,False
2021-10-21,9509561,9017914.0,8521710.0,7742477.0,,3,4,10,2021,21,294,42,False
2021-10-22,9417190,8480182.0,8255078.0,7807438.0,,4,4,10,2021,22,295,42,False
2021-10-23,9748484,8603099.0,8221890.0,7603625.0,,5,4,10,2021,23,296,42,False
2021-10-24,9476970,8636410.0,8509398.0,7572947.0,,6,4,10,2021,24,297,42,False
2021-10-25,9373507,8996817.0,8055670.0,7598153.0,,0,4,10,2021,25,298,43,False
2021-10-26,9646801,9024807.0,8266410.0,7194687.0,,1,4,10,2021,26,299,43,False
2021-10-27,9635634,9329236.0,8367438.0,7787109.0,,2,4,10,2021,27,300,43,False
2021-10-28,9530612,8979426.0,8704248.0,7631075.0,,3,4,10,2021,28,301,43,False
2021-10-29,9627467,8909272.0,8728816.0,7750536.0,,4,4,10,2021,29,302,43,False
2021-10-30,9879362,8712314.0,8231674.0,8059526.0,,5,4,10,2021,30,303,43,False
2021-10-31,9501436,8861903.0,8278534.0,7838129.0,,6,4,10,2021,31,304,43,False
2021-11-01,9631220,8913143.0,8727522.0,7714465.0,,0,4,11,2021,1,305,44,False
2021-11-02,10004975,9223398.0,8649710.0,7766408.0,,1,4,11,2021,2,306,44,False
2021-11-03,9749567,9410437.0,8519563.0,7832259.0,,2,4,11,2021,3,307,44,False
2021-11-04,9925777,9212329.0,8435867.0,7506461.0,,3,4,11,2021,4,308,44,False
2021-11-05,9863408,9062121.0,8227322.0,7816477.0,,4,4,11,2021,5,309,44,False
2021-11-06,9933505,9432522.0,8383810.0,7360372.0,,5,4,11,2021,6,310,44,False
2021-11-07,9383028,9111057.0,8109287.0,8039414.0,,6,4,11,2021,7,311,44,False
2021-11-08,9607159,8971236.0,8518147.0,7858632.0,,0,4,11,2021,8,312,45,False
2021-11-09,9707735,8799249.0,8472640.0,7810951.0,,1,4,11,2021,9,313,45,False
2021-11-10,9691895,9127038.0,8359580.0,7579882.0,,2,4,11,2021,10,314,45,False
2021-11-11,9854091,9362940.0,8262562.0,8127696.0,,3,4,11,2021,11,315,45,False
2021-11-12,9695957,9077857.0,8503389.0,7748085.0,,4,4,11,2021,12,316,45,False
2021-11-13,10047149,9413465.0,8498352.0,8117805.0,,5,4,11,2021,13,317,45,False
2021-11-14,9845653,8950079.0,9066670.0,7780006.0,,6,4,11,2021,14,318,45,False
2021-11-15,9656831,9215173.0,8744235.0,7916028.0,,0,4,11,2021,15,319,46,False
2021-11-16,10285056,9056307.0,8688343.0,7736671.0,,1,4,11,2021,16,320,46,False
2021-11-17,9606579,8968187.0,8475700.0,8082781.0,,2,4,11,2021,17,321,46,False
2021-11-18,9928425,9357610.0,8471826.0,7824063.0,,3,4,11,2021,18,322,46,False
2021-11-19,9980182,8971426.0,9020316.0,7761256.0,,4,4,11,2021,19,323,46,False
2021-11-20,9915679,9238276.0,8399861.0,7821879.0,,5,4,11,2021,20,324,46,False
2021-11-21,9837099,9372279.0,8387758.0,7760399.0,,6,4,11,2021,21,325,46,False
2021-11-22,9608834,9589375.0,8637948.0,8330147.0,,0,4,11,2021,22,326,47,False
2021-11-23,9893666,8961875.0,8088783.0,8053953.0,,1,4,11,2021,23,327,47,False
2021-11-24,9897017,9160096.0,8148275.0,7816117.0,,2,4,11,2021,24,328,47,False
2021-11-25,10129048,9052229.0,8682340.0,8156649.0,,3,4,11,2021,25,329,47,False
2021-11-26,9828852,8778271.0,8879871.0,7857443.0,,4,4,11,2021,26,330,47,False
2021-11-27,10014982,9245534.0,8680501.0,7881212.0,,5,4,11,2021,27,331,47,False
2021-11-28,10057900,9384023.0,8083372.0,7975949.0,,6,4,11,2021,28,332,47,False
2021-11-29,10204676,9474742.0,8517990.0,7970632.0,,0,4,11,2021,29,333,48,False
2021-11-30,10299217,9189054.0,8491801.0,7998865.0,,1,4,11,2021,30,334,48,False
2021-12-01,9731627,9167277.0,9031534.0,7748662.0,,2,4,12,2021,1,335,48,False
2021-12-02,9674146,9123056.0,8319351.0,8080043.0,,3,4,12,2021,2,336,48,False
2021-12-03,9679469,9251321.0,8553246.0,7971011.0,,4,4,12,2021,3,337,48,False
2021-12-04,10060861,9377700.0,8534097.0,8309959.0,,5,4,12,2021,4,338,48,False
2021-12-05,9771507,9782022.0,8462584.0,7945271.0,,6,4,12,2021,5,339,48,False
2021-12-06,9726983,8930331.0,8691699.0,8352635.0,,0,4,12,2021,6,340,49,False
2021-12-07,10152789,9718666.0,8686964.0,7861647.0,,1,4,12,2021,7,341,49,False
2021-12-08,9961637,9262001.0,8550358.0,7920726.0,,2,4,12,2021,8,342,49,False
2021-12-09,9888931,9095889.0,8143101.0,7921232.0,,3,4,12,2021,9,343,49,False
2021-12-10,10016144,9364629.0,8645316.0,8142874.0,,4,4,12,2021,10,344,49,False
2021-12-11,10025271,9508131.0,8928652.0,7731725.0,,5,4,12,2021,11,345,49,False
2021-12-12,10013123,9264013.0,9082265.0,8070687.0,,6,4,12,2021,12,346,49,False
2021-12-13,10144930,9461281.0,8796515.0,7825047.0,,0,4,12,2021,13,347,50,False
2021-12-14,10246870,9032235.0,8629607.0,7920469.0,,1,4,12,2021,14,348,50,False
2021-12-15,9838107,9574777.0,8827278.0,7946897.0,,2,4,12,2021,15,349,50,False
2021-12-16,9845904,9189740.0,8946278.0,8090998.0,,3,4,12,2021,16,350,50,False
2021-12-17,10220516,9508023.0,8390857.0,8415152.0,,4,4,12,2021,17,351,50,False
2021-12-18,9835059,9580631.0,8782778.0,8325436.0,,5,4,12,2021,18,352,50,False
2021-12-19,9572522,9697272.0,8817338.0,8105278.0,,6,4,12,2021,19,353,50,False
